Code,Date,Company,Sector,Market_Cap,Weight_Percentage,Null_Cl,Total_Index_Market_Cap,WP_Strength
CBA,2016-04-02,"Commonwealth Bank of Australia",Financials,148038000000,8.88,Null,23062784,"Very Strong"
CCL,2016-04-02,"Coca-cola Amatil Limited","Consumer Staples",8262050000,0.5,Null,21465439,"Very Weak"
CCP,2016-04-02,"Credit Corp Group Limited",Financials,818742000,0.05,Null,33352828,"Very Weak"
CGC,2016-04-02,"Costa Group Holdings Limited","Consumer Staples",1388870000,0.08,Null,18834661,"Very Weak"
CGF,2016-04-02,"Challenger Limited",Financials,7178620000,0.43,Null,31693741,"Very Weak"
CHC,2016-04-02,"Charter Hall Group Forus","Real Estate",2278200000,0.14,Null,21210061,"Very Weak"
CIM,2016-04-02,"Cimic Group Limited",Industrials,11650500000,0.7,Null,29034169,Weak
CMW,2016-04-02,"Cromwell Property Group Stapled","Real Estate",1681620000,0.1,Null,27947028,"Very Weak"
COH,2016-04-03,"Cochlear Limited","Health Care",7765810000,0.47,Null,17622523,"Very Weak"
CPU,2016-04-03,"Computershare Limited","Information Technology",7681340000,0.46,Null,29499353,"Very Weak"
CQR,2016-04-03,"Charter Hall Retail Reit Unit","Real Estate",1762860000,0.11,Null,22563714,"Very Weak"
CSL,2016-04-03,"CSL Limited","Health Care",57047600000,3.42,Null,15877428,Strong
CSR,2016-04-03,"CSR Limited",Materials,2275210000,0.14,Null,29022709,"Very Weak"
CTD,2016-04-03,"Corporate Travel Management Limited","Consumer Discretionary",2107490000,0.13,Null,29326570,"Very Weak"
CTX,2016-04-03,"Caltex Australia Limited",Energy,7691300000,0.46,Null,15810313,"Very Weak"
CWN,2016-04-03,"Crown Resorts Limited","Consumer Discretionary",8602340000,0.52,Null,17448918,Weak
CWY,2016-04-03,"Cleanaway Waste Management Limited",Industrials,1909120000,0.11,Null,17906023,"Very Weak"
CYB,2016-04-03,"CYBG PLC Cdi 1:1",Financials,3292460000,0.2,Null,25622343,"Very Weak"
DLX,2016-04-03,"Duluxgroup Limited",Materials,2541800000,0.15,Null,16281321,"Very Weak"
DMP,2016-04-03,"Dominos Pizza Enterprises Limited","Consumer Discretionary",5165210000,0.31,Null,26006390,"Very Weak"
DOW,2016-04-03,"Downer Edi Limited",Industrials,2459510000,0.15,Null,22499950,"Very Weak"
DUE,2016-04-03,"Duet Group Forus",Utilities,6893450000,0.41,Null,30516312,"Very Weak"
DXS,2016-04-03,"Dexus Property Group Stapled","Real Estate",9456850000,0.57,Null,22576338,Weak
ECX,2016-04-03,"Eclipx Group Limited",Financials,1037320000,0.06,Null,28129043,"Very Weak"
EHE,2016-04-03,"Estia Health Limited","Health Care",805262000,0.05,Null,31870250,"Very Weak"
EVN,2016-04-03,"Evolution Mining Limited",Materials,3533880000,0.21,Null,31473026,"Very Weak"
FBU,2016-04-03,"Fletcher Building Limited NZX",Materials,5239590000,0.31,Null,19419488,"Very Weak"
FLT,2016-04-03,"Flight Centre Travel Group Limited","Consumer Discretionary",2917940000,0.18,Null,26727009,"Very Weak"
FMG,2016-04-03,"Fortescue Metals Group LTD",Materials,19399000000,1.16,Null,19517516,Good
FPH,2016-04-03,"Fisher & Paykel Healthcare Corporation Limited NZX","Health Care",5018000000,0.3,Null,22751676,"Very Weak"
FXJ,2016-04-03,"Fairfax Media Limited","Consumer Discretionary",2356960000,0.14,Null,32180003,"Very Weak"
FXL,2016-04-03,"Flexigroup Limited",Financials,860132000,0.05,Null,26256829,"Very Weak"
GEM,2016-04-03,"G8 Education Limited","Consumer Discretionary",1639920000,0.1,Null,30532395,"Very Weak"
GMA,2016-04-03,"Genworth Mortgage Insurance Australia Limited",Financials,1599410000,0.1,Null,17965353,"Very Weak"
GMG,2016-04-03,"Goodman Group Stapled","Real Estate",13847800000,0.83,Null,28962371,Weak
GNC,2016-04-03,"Graincorp Limited","Consumer Staples",2080300000,0.12,Null,28093765,"Very Weak"
GOZ,2016-04-03,"Growthpoint Properties Australia Stapled","Real Estate",2096450000,0.13,Null,30617468,"Very Weak"
GPT,2016-04-03,"GPT Group Stapled","Real Estate",9278390000,0.56,Null,20985398,Weak
GTY,2016-04-03,"Gateway Lifestyle Group Stapled","Real Estate",625741000,0.04,Null,26875301,"Very Weak"
GUD,2016-04-03,"G.u.d. Holdings Limited","Consumer Discretionary",1015160000,0.06,Null,29599469,"Very Weak"
GWA,2016-04-03,"GWA Group Limited",Industrials,765448000,0.05,Null,24074116,"Very Weak"
GXL,2016-04-03,"Greencross Limited","Consumer Discretionary",836296000,0.05,Null,22578274,"Very Weak"
GXY,2016-04-03,"Galaxy Resources Limited",Materials,898940000,0.05,Null,31437888,"Very Weak"
HGG,2016-04-03,"Henderson Group PLC Cdi 1:1",Financials,2786180000,0.17,Null,20173784,"Very Weak"
HSO,2016-04-03,"Healthscope Limited","Health Care",3940810000,0.24,Null,23131245,"Very Weak"
HVN,2016-04-03,"Harvey Norman Holdings Limited","Consumer Discretionary",5042140000,0.3,Null,14604792,"Very Weak"
IAG,2016-04-03,"Insurance Australia Group Limited",Financials,14323500000,0.86,Null,32357731,Weak
IFL,2016-04-03,"Ioof Holdings Limited",Financials,2560140000,0.15,Null,33718466,"Very Weak"
IFN,2016-04-03,"Infigen Energy Stapled",Utilities,784480000,0.05,Null,24772737,"Very Weak"
IGO,2016-04-03,"Independence Group NL",Materials,2100550000,0.13,Null,16001684,"Very Weak"
ILU,2016-04-03,"Iluka Resources Limited",Materials,3190500000,0.19,Null,16087740,"Very Weak"
INM,2016-04-03,"Iron Mountain Incorporated Cdi 1:1","Real Estate",2213420000,0.13,Null,23762612,"Very Weak"
IOF,2016-04-03,"Investa Office Fund Stapled","Real Estate",2916730000,0.17,Null,19711612,"Very Weak"
IPH,2016-04-03,"IPH Limited",Industrials,933502000,0.06,Null,28806967,"Very Weak"
IPL,2016-04-03,"Incitec Pivot Limited",Materials,6343760000,0.38,Null,24403825,"Very Weak"
IRE,2016-04-03,"Iress Limited","Information Technology",1990780000,0.12,Null,28516251,"Very Weak"
ISD,2016-04-03,"Isentia Group Limited","Information Technology",300000000,0.02,Null,16415816,"Very Weak"
IVC,2016-04-03,"Invocare Limited","Consumer Discretionary",1555830000,0.09,Null,15614155,"Very Weak"
JBH,2016-04-03,"JB Hi-fi Limited","Consumer Discretionary",2826210000,0.17,Null,31664929,"Very Weak"
JHC,2016-04-03,"Japara Healthcare Limited","Health Care",532931000,0.03,Null,33371855,"Very Weak"
JHX,2016-04-03,"James Hardie Industries PLC Cdi 1:1",Materials,9068150000,0.54,Null,29839840,Weak
LLC,2016-04-03,"Lendlease Group Stapled","Real Estate",9082980000,0.54,Null,19761800,Weak
LNK,2016-04-03,"Link Administration Holdings Limited","Information Technology",2781230000,0.17,Null,18961322,"Very Weak"
MFG,2016-04-03,"Magellan Financial Group Limited",Financials,4066170000,0.24,Null,15917137,"Very Weak"
MGR,2016-04-03,"Mirvac Group Stapled","Real Estate",8115180000,0.49,Null,27156603,"Very Weak"
MIN,2016-04-03,"Mineral Resources Limited",Materials,2010640000,0.12,Null,17449201,"Very Weak"
MMS,2016-04-03,"Mcmillan Shakespeare Limited",Industrials,1099970000,0.07,Null,21315351,"Very Weak"
MND,2016-04-03,"Monadelphous Group Limited",Industrials,1157100000,0.07,Null,16871308,"Very Weak"
MPL,2016-04-03,"Medibank Private Limited",Financials,7766290000,0.47,Null,33259905,"Very Weak"
MQA,2016-04-03,"Macquarie Atlas Roads Group Stapled",Industrials,2909570000,0.17,Null,32825758,"Very Weak"
MQG,2016-04-03,"Macquarie Group Limited",Financials,30699700000,1.84,Null,31740911,Good
MTR,2016-04-03,"Mantra Group Limited","Consumer Discretionary",868492000,0.05,Null,32891503,"Very Weak"
MTS,2016-04-03,"Metcash Limited","Consumer Staples",2409840000,0.14,Null,31876052,"Very Weak"
MYO,2016-04-03,"Myob Group Limited","Information Technology",2158930000,0.13,Null,32682971,"Very Weak"
MYR,2016-04-03,"Myer Holdings Limited","Consumer Discretionary",997854000,0.06,Null,25234054,"Very Weak"
MYX,2016-04-03,"Mayne Pharma Group Limited","Health Care",2145230000,0.13,Null,28217898,"Very Weak"
NAB,2016-04-03,"National Australia Bank Limited",Financials,89198600000,5.35,Null,24749983,Strong
NAN,2016-04-03,"Nanosonics Limited","Health Care",922972000,0.06,Null,22365569,"Very Weak"
NCM,2016-04-03,"Newcrest Mining Limited",Materials,17075200000,1.02,Null,17772866,Good
NEC,2016-04-03,"Nine Entertainment Co. Holdings Limited","Consumer Discretionary",1093570000,0.07,Null,21219375,"Very Weak"
NSR,2016-04-03,"National Storage Reit Stapled","Real Estate",725187000,0.04,Null,23171379,"Very Weak"
NST,2016-04-03,"Northern Star Resources LTD",Materials,2438200000,0.15,Null,24373081,"Very Weak"
NUF,2016-04-03,"Nufarm Limited",Materials,2588090000,0.16,Null,28840230,"Very Weak"
NVT,2016-04-03,"Navitas Limited","Consumer Discretionary",1594240000,0.1,Null,16439172,"Very Weak"
NWS,2016-04-03,"News Corporation. B Voting","Consumer Discretionary",796231000,0.05,Null,17488392,"Very Weak"
NXT,2016-04-03,"Nextdc Limited","Information Technology",1159020000,0.07,Null,28667125,"Very Weak"
ORA,2016-04-03,"Orora Limited",Materials,3571790000,0.21,Null,25319316,"Very Weak"
ORE,2016-04-03,"Orocobre Limited",Materials,585247000,0.04,Null,19489686,"Very Weak"
ORG,2016-04-03,"Origin Energy Limited",Energy,12372800000,0.74,Null,23689934,Weak
ORI,2016-04-03,"Orica Limited",Materials,6620690000,0.4,Null,20710579,"Very Weak"
OSH,2016-04-03,"Oil Search Limited 10T",Energy,10993800000,0.66,Null,24624100,Weak
OZL,2016-04-03,"Oz Minerals Limited",Materials,2338540000,0.14,Null,15706058,"Very Weak"
PGH,2016-04-03,"Pact Group Holdings LTD",Materials,2094640000,0.13,Null,21099372,"Very Weak"
PMV,2016-04-03,"Premier Investments Limited","Consumer Discretionary",2254430000,0.14,Null,31498599,"Very Weak"
PPT,2016-04-03,"Perpetual Limited",Financials,2428860000,0.15,Null,31492697,"Very Weak"
PRY,2016-04-03,"Primary Health Care Limited","Health Care",1861520000,0.11,Null,23395894,"Very Weak"
PTM,2016-04-03,"Platinum Asset Management Limited",Financials,3009660000,0.18,Null,34275885,"Very Weak"
QAN,2016-04-03,"Qantas Airways Limited",Industrials,7096570000,0.43,Null,23916397,"Very Weak"
QBE,2016-04-03,"QBE Insurance Group Limited",Financials,17679800000,1.06,Null,17649020,Good
QUB,2016-04-03,"Qube Holdings Limited",Industrials,3716900000,0.22,Null,20111636,"Very Weak"
REA,2016-04-03,"REA Group LTD","Consumer Discretionary",7814630000,0.47,Null,19618839,"Very Weak"
REG,2016-04-03,"Regis Healthcare Limited","Health Care",1342600000,0.08,Null,32796869,"Very Weak"
RFG,2016-04-03,"Retail Food Group Limited","Consumer Discretionary",938368000,0.06,Null,17136299,"Very Weak"
RHC,2016-04-03,"Ramsay Health Care Limited","Health Care",14123500000,0.85,Null,17480685,Weak
RIO,2016-04-03,"RIO Tinto Limited",Materials,25646700000,1.54,Null,21613111,Good
RMD,2016-04-03,"Resmed Inc Cdi 10:1","Health Care",13155700000,0.79,Null,32791687,Weak
RRL,2016-04-03,"Regis Resources Limited",Materials,1653280000,0.1,Null,24454999,"Very Weak"
RSG,2016-04-03,"Resolute Mining Limited",Materials,958078000,0.06,Null,33768443,"Very Weak"
RWC,2016-04-03,"Reliance Worldwide Corporation Limited",Industrials,1512000000,0.09,Null,16819512,"Very Weak"
S32,2016-04-03,"SOUTH32 Limited",Materials,14693600000,0.88,Null,23377672,Weak
SAR,2016-04-03,"Saracen Mineral Holdings Limited",Materials,795436000,0.05,Null,21828498,"Very Weak"
SBM,2016-04-03,"ST Barbara Limited",Materials,1183650000,0.07,Null,32896764,"Very Weak"
SCG,2016-04-03,"Scentre Group Stapled","Real Estate",22841200000,1.37,Null,14431506,Good
SCP,2016-04-03,"Shopping Centres Australasia Property Group Stapled","Real Estate",1663760000,0.1,Null,22700584,"Very Weak"
SDF,2016-04-03,"Steadfast Group Limited",Financials,1904370000,0.11,Null,29333617,"Very Weak"
SEK,2016-04-03,"Seek Limited",Industrials,5537070000,0.33,Null,24293151,"Very Weak"
SFR,2016-04-03,"Sandfire Resources NL",Materials,1006350000,0.06,Null,18374373,"Very Weak"
SGM,2016-04-03,"Sims Metal Management Limited",Materials,2442640000,0.15,Null,14431745,"Very Weak"
SGP,2016-04-03,"Stockland Stapled","Real Estate",11221400000,0.67,Null,25405863,Weak
SGR,2016-04-03,"The Star Entertainment Group Limited","Consumer Discretionary",4516430000,0.27,Null,23921248,"Very Weak"
SHL,2016-04-03,"Sonic Healthcare Limited","Health Care",9232290000,0.55,Null,25648869,Weak
SIP,2016-04-03,"Sigma Pharmaceuticals Limited","Health Care",1387060000,0.08,Null,19190681,"Very Weak"
SKC,2016-04-03,"Skycity Entertainment Group Limited NZX","Consumer Discretionary",2473930000,0.15,Null,32292503,"Very Weak"
SKI,2016-04-03,"Spark Infrastructure Group Forus",Utilities,3986370000,0.24,Null,19902180,"Very Weak"
SKT,2016-04-03,"SKY Network Television Limited NZ","Consumer Discretionary",1365880000,0.08,Null,26197333,"Very Weak"
SPK,2016-04-03,"Spark New Zealand Limited NZX","Telecommunication Services",5827590000,0.35,Null,17585384,"Very Weak"
SPO,2016-04-03,"Spotless Group Holdings Limited",Industrials,1191640000,0.07,Null,25964942,"Very Weak"
SRX,2016-04-03,"Sirtex Medical Limited","Health Care",1032770000,0.06,Null,16883700,"Very Weak"
STO,2016-04-03,"Santos Limited",Energy,7915060000,0.47,Null,21124934,"Very Weak"
SUL,2016-04-03,"Super Retail Group Limited","Consumer Discretionary",2021710000,0.12,Null,30179674,"Very Weak"
SUN,2016-04-03,"Suncorp Group Limited",Financials,17043500000,1.02,Null,22053474,Good
SVW,2016-04-03,"Seven Group Holdings Limited",Industrials,3012090000,0.18,Null,26587579,"Very Weak"
SWM,2016-04-03,"Seven West Media Limited","Consumer Discretionary",1183810000,0.07,Null,31388355,"Very Weak"
SXL,2016-04-03,"Southern Cross Media Group Limited","Consumer Discretionary",1076620000,0.06,Null,22072309,"Very Weak"
SYD,2016-04-03,"Sydney Airport Forus",Industrials,15231300000,0.91,Null,16162390,Weak
SYR,2016-04-03,"Syrah Resources Limited",Materials,746611000,0.04,Null,22651560,"Very Weak"
TAH,2016-04-03,"Tabcorp Holdings Limited","Consumer Discretionary",3967520000,0.24,Null,26103009,"Very Weak"
TCL,2016-04-03,"Transurban Group Stapled",Industrials,23950100000,1.44,Null,33525595,Good
TGR,2016-04-03,"Tassal Group Limited","Consumer Staples",760425000,0.05,Null,23968386,"Very Weak"
TLS,2016-04-04,"Telstra Corporation Limited","Telecommunication Services",55422800000,3.32,Null,19428442,Strong
TME,2016-04-04,"Trade Me Group Limited NZX","Consumer Discretionary",1850770000,0.11,Null,19443735,"Very Weak"
TNE,2016-04-04,"Technology One Limited","Information Technology",1607740000,0.1,Null,25937154,"Very Weak"
TPM,2016-04-04,"TPG Telecom Limited","Telecommunication Services",5913860000,0.35,Null,21949002,"Very Weak"
TTS,2016-04-04,"Tatts Group Limited","Consumer Discretionary",6505540000,0.39,Null,32212216,"Very Weak"
TWE,2016-04-04,"Treasury Wine Estates Limited","Consumer Staples",9027390000,0.54,Null,20933331,Weak
VCX,2016-04-04,"Vicinity Centres Stapled","Real Estate",11203000000,0.67,Null,21988821,Weak
VOC,2016-04-04,"Vocus Group Limited","Telecommunication Services",2679920000,0.16,Null,18240726,"Very Weak"
VRT,2016-04-05,"Virtus Health Limited","Health Care",464577000,0.03,Null,15117179,"Very Weak"
VVR,2016-04-05,"Viva Energy Reit Stapled","Real Estate",1642560000,0.1,Null,26970547,"Very Weak"
WBC,2016-04-05,"Westpac Banking Corporation",Financials,117683000000,7.06,Null,28605745,"Very Strong"
WEB,2016-04-05,"Webjet Limited","Consumer Discretionary",1123930000,0.07,Null,16206254,"Very Weak"
WES,2016-04-05,"Wesfarmers Limited","Consumer Staples",50971400000,3.06,Null,26310241,Strong
WFD,2016-04-05,"Westfield Corporation Stapled","Real Estate",18453400000,1.11,Null,28615199,Good
WHC,2016-04-05,"Whitehaven Coal Limited",Energy,3067880000,0.18,Null,20002080,"Very Weak"
WOR,2016-04-05,"Worleyparsons Limited",Energy,2719150000,0.16,Null,16266542,"Very Weak"
WOW,2016-04-05,"Woolworths Limited","Consumer Staples",34136300000,2.05,Null,26915888,Good
WPL,2016-04-05,"Woodside Petroleum Limited",Energy,27025600000,1.62,Null,24552982,Good
WSA,2016-04-05,"Western Areas Limited",Materials,628959000,0.04,Null,31061424,"Very Weak"
